timestamp,seq,mode,status,latency_ms_or_info
1765319947.250,0,udp,sent,
1765319947.756,1,udp,sent,
1765319948.261,2,udp,sent,
1765319948.765,3,udp,sent,
1765319949.268,4,udp,sent,
1765319949.774,5,udp,sent,
1765319950.279,6,udp,sent,
1765319950.785,7,udp,sent,
1765319951.291,8,udp,sent,
1765319951.797,9,udp,sent,
1765319952.302,10,udp,sent,
1765319952.808,11,udp,sent,
1765319953.309,12,udp,sent,
1765319953.815,13,udp,sent,
1765319954.320,14,udp,sent,
1765319954.826,15,udp,sent,
1765319955.328,16,udp,sent,
1765319955.834,17,udp,sent,
1765319956.335,18,udp,sent,
1765319956.840,19,udp,sent,
